Style,Season,NeckLine,SleeveLength,Material,FabricType,Pattern,Weather,Temperature,ImageLink,Jewelry,footwear
Casual,Summer,backless,sleevless,chiffonfabric,chiffon,,hot,35.0,https://ae01.alicdn.com/kf/HTB12jyqgIj_B1NjSZFHq6yDWpXaw/2018-Womens-Boho-Style-Fashion-Summer-Backless-Sleeveless-Chiffon-Halter-Blouses-Floral-Printed-Slim-Blusas-Tops.jpg,https://th.bing.com/th/id/R.daf394d1011dbef7c0b86576798cbfbc?rik=b%2bduwt7Mzb5QBQ&riu=http%3a%2f%2fwww.spurwesternwear.com%2fimages%2fcategory%2ficon%2f23.jpg&ehk=SXasHUwE76ggf2NiDgSp2sXF3tGZzsLURGW9zAh2R3k%3d&risl=&pid=ImgRaw&r=0,"https://www.jiomart.com/images/product/original/rvxnmhqf5e/gulmeren-women-s-ethnic-slip-on-flat-chappals-embellished-traditional-footwear-product-images-rvxnmhqf5e-2-202311061907.jpg?im=Resize=(500,630)"
sexy,Automn,open,short,lace,,print,moderate,25.0,https://fiver.media/cdn-thumb/800x1200/e5p/images/mu/2021/03/14/short-puff-sleeve-tiered-dress-blue-155343-4.jpg,https://i.pinimg.com/originals/3e/f4/b0/3ef4b0d41929f05e409b5a99c1d96d2a.jpg,https://c.ndtvimg.com/2022-11/k4cr64b_fashion_625x300_09_November_22.jpg
work,Automn,slash-neck,sleevless,polyster,,patchwork,cool,20.0,https://5.imimg.com/data5/SELLER/Default/2021/3/RQ/MV/LG/110799865/5-1000x1000.JPG,https://th.bing.com/th/id/R.60f9cee4ea6a547ded28b3a8276f310f?rik=G0RRU6%2f%2bgrniew&riu=http%3a%2f%2fjewelry.selbermachendeko.com%2fwp-content%2fuploads%2f2019%2f07%2fCowgirl-BLING-Copper-Tone-CONCHO-NECKLACE-set-Southwestern-Gypsy-Western.jpg&ehk=i2IvsZvFT47Ps3wQKoPEhr1SFwRQiJ85g9T9MYYCO8M%3d&risl=&pid=ImgRaw&r=0,https://www.stylecraze.com/wp-content/uploads/2017/03/Peep-toes.jpg
Casual,Winter,slash-neck,halfsleeve,nylon,broadcloth,,cool,18.0,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1365,h_2048/https://www.le-parole.com/wp-content/uploads/2019/05/MG_7081-1365x2048.jpg",https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_1.jpg,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/23361762/2023/6/8/235ba2f5-3f38-4d07-b21e-c4f64b75f7821686222601465-Shezone-Embellished-Comfort-Heels-7901686222601376-11.jpg"
party,Spring,o-neck,halfsleeve,,shiffon,patchwork,moderate,28.0,https://i.pinimg.com/originals/da/71/9c/da719c31a8e72c532807a9b9f19afbc3.jpg,https://www.cattlekate.com/assets/store/products/cropped/291401.jpg,https://cdn.shopify.com/s/files/1/0267/7728/8764/products/stately-black-leatherette-loafers-odette-1_8007bd7a-bb23-4c6d-a6dd-be0059570cc3_465x.jpg?v=1674738318
vintage,Automn,o-neck,full,,worsted,solid,cool,22.0,https://i.pinimg.com/originals/de/46/ee/de46ee644d831961cdfe96544bc75dca.jpg,https://www.fnp.com/images/pr/x/v20230121180756/panash-queen-jewellery-set_1.jpg,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/9/698ccf7CL-DOL-Wn-07BEIGE_2.jpg?tr=w-512
Casual,Winter,vneck,butterfly,,chiffon,striped,cool,10.0,https://ae01.alicdn.com/kf/HTB1MQ0nT9zqK1RjSZFHq6z3CpXa0/SHEIN-Single-Breasted-Split-Hem-Daisy-Print-Tea-Boho-Dress-Women-V-Neck-High-Waist-Summer.jpg,https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_3.jpg,https://rukminim2.flixcart.com/image/850/1000/jtbtt3k0/sandal/q/m/g/35-3911-39-mochi-28-antique-gold-original-imafezh6cmegu8gj.jpeg?q=90
bohemian,Summer,v-neck,short,cotton,,solid,hot,35.0,https://thenmozhidesigns.com/cdn/shop/products/3S2A6677copy.jpg?v=1691574285&width=500,https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_1.jpg,https://cdn.shopify.com/s/files/1/0254/9592/8868/files/the-shorse-white-women-s-dress-wedge-sandals-tresmode-tresmode-1_large.jpg?v=1717502867
Casual,Winter,oneck,sleevless,polyster,chiffon,plaid,cool,15.0,https://ae01.alicdn.com/kf/H7010e757996f4c93bcf8f8de0c87ac37p.jpg,https://artboxjewel.com/images/product/detail/33896-N-SILVEROX-TURQUOISE.jpg,https://rukminim2.flixcart.com/image/850/1000/jtbtt3k0/sandal/q/m/g/35-3911-39-mochi-28-antique-gold-original-imafezh6cmegu8gj.jpeg?q=90
Casual,Summer,o-neck,short,,,patchwork,hot,30.0,https://www.culturalindia.net/iliimages/Kurta-The-Traditional-Indian-Wear-1.jpg,https://img1.etsystatic.com/132/0/12054376/il_fullxfull.1065255903_r84q.jpg,https://m.media-amazon.com/images/I/71koTD6hz-L._AC_UY1000_.jpg
